method,m,l2_penalty,image,per_pixel_error,latent_norm
vae-20,75,0.1,9,0.006380773074127691,4.286556720733643
vae-20,75,1.0,0,0.005938044991319088,2.186074733734131
vae-20,75,1.0,1,0.04365569059463376,2.904590368270874
vae-20,75,1.0,2,0.011469900601275076,3.159898519515991
vae-20,75,1.0,3,0.009994911362314151,2.7061336040496826
vae-20,75,1.0,4,0.004220794792280505,1.7963721752166748
vae-20,75,1.0,5,0.012298035032124566,2.9916622638702393
vae-20,75,1.0,6,0.019055952853553028,3.1075551509857178
vae-20,75,1.0,7,0.004437618550689241,2.020235300064087
vae-20,75,1.0,8,0.017843408499537257,3.206307888031006
vae-20,75,1.0,9,0.01702377364088384,2.82845139503479
vae-30,75,0.0,0,0.0020125047212698824,9.135807991027832
vae-30,75,0.0,1,0.041439919437552104,18.150903701782227
vae-30,75,0.0,2,0.008823255006417436,12.265936851501465
vae-30,75,0.0,3,0.003665543531214259,10.914258003234863
vae-30,75,0.0,4,0.002244895197697466,10.772560119628906
vae-30,75,0.0,5,0.00676656061047395,10.365663528442383
vae-30,75,0.0,6,0.008565477908105907,13.580061912536621
vae-30,75,0.0,7,0.002748177645893471,12.735958099365234
vae-30,75,0.0,8,0.022973274990637563,14.736478805541992
vae-30,75,0.0,9,0.004136370713085737,12.733102798461914
vae-30,75,0.01,0,0.001957351498726188,5.173888206481934
vae-30,75,0.01,1,0.04350408732849817,11.078225135803223
vae-30,75,0.01,2,0.008893301148755297,9.187124252319336
vae-30,75,0.01,3,0.003659952626121764,4.975250244140625
vae-30,75,0.01,4,0.00268161225057885,4.9698686599731445
vae-30,75,0.01,5,0.007316039130842286,7.139915943145752
vae-30,75,0.01,6,0.009298271344724444,10.25157356262207
vae-30,75,0.01,7,0.00307895001176021,5.589406490325928
